Player_Id,Player_Name,Country,Is_Umpire
376,JDS Neesham,New Zealand,0
377,TG Southee,New Zealand,0
378,MA Starc,Australia,0
379,BR Dunk,Australia,0
380,RR Rossouw,South Africa,0
381,Shivam Sharma,India,0
382,YS Chahal,India,0
383,LMP Simmons,West Indies,0
384,VH Zol,India,0
385,BCJ Cutting,Australia,0
386,Imran Tahir,India,0
387,BE Hendricks,South Africa,0
388,S Gopal,India,0
389,M de Lange,South Africa,0
390,R Tewatia,India,0
391,JO Holder,West Indies,0
392,Karanveer Singh,India,0
393,SS Iyer,India,0
394,DJ Hooda,India,0
395,Anureet Singh,India,0
396,KS Williamson,New Zealand,0
397,SA Abbott,New Zealand,0
398,J Suchith,India,0
399,RG More,India,0
400,HH Pandya,India,0
401,D Wiese,South Africa,0
402,SN Khan,India,0
403,MJ McClenaghan,New Zealand,0
404,DJ Muthuswami,India,0
405,PJ Cummins,Australia,0
406,SN Thakur,India,0
407,JC Buttler,England,0
408,CR Brathwaite,West Indies,0
409,MP Stoinis,Australia,0
410,Ishan Kishan,India,0
411,C Munro,New Zealand,0
412,P Sahu,India,0
413,KH Pandya,India,0
414,AD Nath,India,0
415,MJ Guptill,New Zealand,0
416,KJ Abbott,South Africa,0
417,TM Head,Australia,0
418,M Ashwin,India,0
419,NS Naik,India,0
420,RR Pant,India,0
421,SW Billings,England,0
422,KC Cariappa,India,0
423,PSP Handscomb,Australia,0
424,Swapnil Singh,India,0
425,J Yadav,India,0
426,UT Khawaja,Australia,0
427,HM Amla,South Africa,0
428,F Behardien,South Africa,0
429,BB Sran,India,0
430,A Zampa,Australia,0
431,N Rana,India,0
432,S Kaushik,India,0
433,ER Dwivedi,India,0
434,CJ Jordan,England,0
435,P Amarnath,India,0
436,B Geeves,Australia,0
437,Gagandeep Singh,India,0
438,A Nel,South Africa,0
439,AM Salvi,India,0
440,RR Bose,India,0
441,SS Sarkar,India,0
442,RA Shaikh,India,0
443,C Ganapathy,India,0
444,MB Parmar,India,0
445,AA Kazi,India,0
446,Anand Rajan,India,0
447,P Prasanth,India,0
448,SS Mundhe,India,0
449,RW Price,Zimbabwea,0
450,TP Sudhindra,India,0
451,BW Hilfenhaus,Australia,0
452,S Badree,West Indies,0
453,P Suyal,India,0
454,MG Neser,Australia,0
455,V Shankar,India,0
456,K Santokie,West Indies,0
457,JW Hastings,Australia,0
458,TA Boult,New Zealand,0
459,GS Sandhu,Australia,0
460,Mustafizur Rahman,Bangladesh,0
461,AF Milne,New Zealand,0
462,Kuldeep Yadav,India,0
463,T Shamsi,South Africa,0
464,SM Boland,Australia,0
465,DL Chahar,India,0
466,P Dharmani,India,0
467,RV Pawar,India,0
468,KH Devdhar,India,0
469,T Mishra,India,0
470,Asad Rauf,Pakistan,1
471,MR Benson,England,1
472,Aleem Dar,Pakistan,1
473,SJ Davis,England,1
474,BF Bowden,New Zealand,1
475,IL Howell,South Africa,1
476,DJ Harper,Australia,1
477,RE Koertzen,South Africa,1
478,BR Doctrove,West Indies,1
479,AV Jayaprakash,India,1
480,BG Jerling,South Africa,1
481,M Erasmus,South Africa,1
482,HDPK Dharmasena,Sri Lanka,1
483,S Asnani,India,1
484,GAV Baxter,New Zealand,1
485,SS Hazare,India,1
486,K Hariharan,India,1
487,SL Shastri,India,1
488,SK Tarapore,India,1
489,S Ravi,India,1
490,SJA Taufel,Australia,1
491,S Das,India,1
492,AM Saheba,India,1
493,PR Reiffel,Australia,1
494,JD Cloete,South Africa,1
495,AK Chaudhary,India,1
496,VA Kulkarni,India,1
497,BNJ Oxenford,Australia,1
498,CK Nandan,India,1
499,C Shamshuddin,India,1
500,NJ Llong,England,1
501,RK Illingworth,England,1
502,RM Deshpande,India,1
503,K Srinath,India,1
504,SD Fry,Australia,1
505,CB Gaffaney,New Zealand,1
506,PG Pathak,India,1
507,Nitin Menon,India,1
508,K Bharatan,India,1
509,AY Dandekar,India,1
510,KN Ananthapadmanabhan,India,1
511,A Nand Kishore,India,1
512,GA Pratapkumar,India,1
513,RB Tiffin,Zimbabwea,1
514,I Shivram,India,1
515,SD Ranade,India,1
516,TH Wijewardene,Sri Lanka,1
517,AL Hill,New Zealand,1
518,RJ Tucker,Australia,1
519,Subroto Das,India,1
520,K Srinivasan,India,1
521,VK Sharma,India,1
523,AV Wankhade,India,0
524,B Aparajith,India,0
